nom;gardiens;défenseurs;milieux;attaquants
Australie;["Mathew Ryan", "Andrew Redmayne", "Danny Vukovic"];["Miloš Degenek", "Nathaniel Atkinson", "Kye Rowles", "Fran Karačić", "Bailey Wright", "Aziz Behich", "Harry Souttar", "Thomas Deng", "Joel King"];["Ajdin Hrustic", "Aaron Mooy", "Riley McGree", "Cameron Devlin", "Jackson Irvine", "Keanu Baccus"];["Martin Boyle", "Mathew Leckie", "Jamie Maclaren", "Awer Mabil", "Mitchell Duke", "Garang Kuol", "Craig Goodwin", "Jason Cummings"]
Danemark;["Kasper Schmeichel", "Oliver Christensen", "Frederik Rønnow"];["Joachim Andersen", "Victor Nelsson", "Simon Kjær", "Joakim Mæhle", "Andreas Christensen", "Rasmus Kristensen", "Jens Stryger Larsen", "Daniel Wass", "Alexander Bah"];["Mathias Jensen", "Thomas Delaney", "Christian Eriksen", "Andreas Skov Olsen", "Mikkel Damsgaard", "Christian Nørgaard", "Pierre-Emile Højbjerg", "Robert Skov", "Jesper Lindstrøm"];["Martin Braithwaite", "Kasper Dolberg", "Jonas Wind", "Yussuf Poulsen", "Andreas Cornelius"]
Tunisie;["Béchir Ben Saïd", "Aymen Dahmen", "Mouez Hassen", "Aymen Mathlouthi"];["Ali Abdi", "Dylan Bronn", "Mohamed Dräger", "Nader Ghandri", "Bilel Ifa", "Wajdi Kechrida", "Ali Maaloul", "Yassine Meriah", "Montassar Talbi"];["Mohamed Ali Ben Romdhane", "Anis Ben Slimane", "Ghailene Chaalali", "Aïssa Laïdouni", "Hannibal Mejbri", "Ferjani Sassi", "Ellyes Skhiri"];["Seifeddine Jaziri", "Issam Jebali", "Wahbi Khazri", "Taha Yassine Khenissi", "Youssef Msakni", "Naïm Sliti"]
Espagne;["Robert Sánchez", "David Raya", "Unai Simón"];["César Azpilicueta", "Eric García", "Pau Torres", "José Gayà", "Hugo Guillamón", "Jordi Alba", "Dani Carvajal", "Aymeric Laporte"];["Sergio Busquets", "Marcos Llorente", "Koke", "Gavi", "Rodri", "Carlos Soler", "Pedri"];["Álvaro Morata", "Marco Asensio", "Ferran Torres", "Nico Williams", "Yeremi Pino", "Dani Olmo", "Pablo Sarabia", "Ansu Fati"]
Costa Rica;["Keylor Navas", "Esteban Alvarado", "Patrick Sequeira"];["Juan Pablo Vargas", "Keysher Fuller", "Óscar Duarte", "Bryan Oviedo", "Francisco Calvo", "Carlos Martínez", "Kendall Waston", "Rónald Matarrita"];["Daniel Chacón", "Celso Borges", "Jewison Bennette", "Bryan Ruiz", "Gerson Torres", "Youstin Salas", "Yeltsin Tejeda", "Brandon Aguilera", "Douglas López", "Roan Wilson", "Anthony Hernández", "Álvaro Zamora"];["Anthony Contreras", "Johan Venegas", "Joel Campbell"]
Allemagne;["Manuel Neuer", "Kevin Trapp", "Marc-André ter Stegen"];["Antonio Rüdiger", "David Raum", "Matthias Ginter", "Thilo Kehrer", "Niklas Süle", "Lukas Klostermann", "Jonas Hofmann", "Christian Günter", "Nico Schlotterbeck", "Armel Bella-Kotchap"];["Joshua Kimmich", "Leon Goretzka", "Serge Gnabry", "Thomas Müller", "Jamal Musiala", "Julian Brandt", "Leroy Sané", "İlkay Gündoğan"];["Kai Havertz", "Niclas Füllkrug", "Mario Götze", "Karim Adeyemi", "Youssoufa Moukoko"]
Japon;["Eiji Kawashima", "Shūichi Gonda", "Daniel Schmidt"];["Miki Yamane", "Shōgo Taniguchi", "Ko Itakura", "Yūto Nagatomo", "Takehiro Tomiyasu", "Hiroki Sakai", "Maya Yoshida", "Hiroki Ito"];["Wataru Endō", "Gaku Shibasaki", "Hidemasa Morita", "Daichi Kamada", "Ao Tanaka"];["Ritsu Doan", "Kaoru Mitoma", "Takumi Minamino", "Takefusa Kubo", "Junya Ito", "Takuma Asano", "Shuto Machino", "Ayase Ueda", "Yuki Soma", "Daizen Maeda"]
Belgique;["Thibaut Courtois", "Simon Mignolet", "Koen Casteels"];["Toby Alderweireld", "Arthur Theate", "Wout Faes", "Jan Vertonghen", "Leander Dendoncker", "Zeno Debast"];["Axel Witsel", "Kevin De Bruyne", "Youri Tielemans", "Thomas Meunier", "Thorgan Hazard", "Amadou Onana", "Hans Vanaken", "Timothy Castagne"];["Romelu Lukaku", "Eden Hazard", "Yannick Carrasco", "Dries Mertens", "Leandro Trossard", "Charles De Ketelaere", "Michy Batshuayi", "Loïs Openda", "Jérémy Doku"]
Canada;["Dayne St. Clair", "James Pantemis", "Milan Borjan"];["Alistair Johnston", "Sam Adekugbe", "Kamal Miller", "Steven Vitória", "Richie Laryea", "Derek Cornelius", "Joel Waterman"];["Samuel Piette", "Stephen Eustáquio", "Liam Fraser", "Atiba Hutchinson", "Mark-Anthony Kaye", "Ismaël Koné", "Jonathan Osorio", "David Wotherspoon"];["Lucas Cavallini", "Junior Hoilett", "Tajon Buchanan", "Iké Ugbo", "Cyle Larin", "Alphonso Davies", "Jonathan David", "Liam Millar"]
Maroc;["Yassine Bounou", "Munir El Kajoui", "Reda Tagnaouti"];["Achraf Hakimi", "Noussair Mazraoui", "Nayef Aguerd", "Romain Saïss", "Jawad El Yamiq", "Achraf Dari", "Badr Benoun", "Yahya Attiatallah"];["Sofyan Amrabat", "Hakim Ziyech", "Azzedine Ounahi", "Anass Zaroury", "Ilias Chair", "Zakaria Aboukhlal", "Selim Amallah", "Sofiane Boufal", "Bilal El Khannouss", "Yahya Jabrane"];["Abderrazak Hamed-Allah", "Abdelhamid Sabiri", "Ez Abde", "Youssef En-Nesyri", "Walid Cheddira"]
Croatie;["Dominik Livaković", "Ivo Grbić", "Ivica Ivušić"];["Josip Stanišić", "Borna Barišić", "Martin Erlić", "Dejan Lovren", "Borna Sosa", "Joško Gvardiol", "Domagoj Vida", "Josip Juranović", "Josip Šutalo"];["Lovro Majer", "Mateo Kovačić", "Luka Modrić", "Marcelo Brozović", "Nikola Vlašić", "Mario Pašalić", "Luka Sučić", "Kristijan Jakić"];["Ivan Perišić", "Andrej Kramarić", "Marko Livaja", "Bruno Petković", "Ante Budimir", "Mislav Oršić"]
Brésil;["Alisson", "Weverton", "Ederson"];["Danilo", "Thiago Silva", "Marquinhos", "Alex Sandro", "Dani Alves", "Éder Militão", "Alex Telles", "Bremer"];["Casemiro", "Lucas Paquetá", "Fred", "Fabinho", "Bruno Guimarães", "Éverton Ribeiro"];["Richarlison", "Neymar", "Raphinha", "Gabriel Jesus", "Antony", "Vinícius Júnior", "Rodrygo", "Pedro", "Gabriel Martinelli"]
Serbie;["Marko Dmitrović", "Vanja Milinković-Savić", "Predrag Rajković"];["Srđan Babić", "Strahinja Eraković", "Nikola Milenković", "Stefan Mitrović", "Filip Mladenović", "Strahinja Pavlović", "Miloš Veljković"];["Marko Grujić", "Nemanja Gudelj", "Ivan Ilić", "Filip Kostić", "Darko Lazović", "Saša Lukić", "Nemanja Maksimović", "Sergej Milinković-Savić", "Uroš Račić", "Andrija Živković"];["Filip Đuričić", "Luka Jović", "Aleksandar Mitrović", "Nemanja Radonjić", "Dušan Tadić", "Dušan Vlahović"]
Suisse;["Yann Sommer", "Jonas Omlin", "Gregor Kobel", "Philipp Köhn"];["Edimilson Fernandes", "Silvan Widmer", "Nico Elvedi", "Manuel Akanji", "Ricardo Rodríguez", "Eray Cömert", "Fabian Schär"];["Denis Zakaria", "Remo Freuler", "Granit Xhaka", "Michel Aebischer", "Djibril Sow", "Christian Fassnacht", "Fabian Frei", "Xherdan Shaqiri", "Fabian Rieder", "Ardon Jashari"];["Breel Embolo", "Haris Seferović", "Renato Steffen", "Ruben Vargas", "Noah Okafor"]
Cameroun;["Simon Ngapandouetnbu", "Devis Epassy", "André Onana"];["Jerome Ngom Mbekeli", "Nicolas Nkoulou", "Christopher Wooh", "Olivier Mbaizo", "Collins Fai", "Jean-Charles Castelletto", "Enzo Ebosse", "Nouhou Tolo"];["Gaël Ondoua", "Georges-Kévin Nkoudou", "Frank Anguissa", "Samuel Gouet", "Pierre Kunde", "Martin Hongla", "Olivier Ntcham", "Souaibou Marou"];["Moumi Ngamaleu", "Jean-Pierre Nsame", "Vincent Aboubakar", "Christian Bassogog", "Karl Toko-Ekambi", "Eric Maxim Choupo-Moting", "Bryan Mbeumo"]
Portugal;["Rui Patrício", "José Sá", "Diogo Costa"];["Diogo Dalot", "Pepe", "Rúben Dias", "Raphaël Guerreiro", "Danilo Pereira", "Nuno Mendes", "João Cancelo", "António Silva"];["João Palhinha", "Bruno Fernandes", "Bernardo Silva", "William Carvalho", "Vitinha", "João Mário", "Rúben Neves", "Matheus Nunes", "Otávio"];["Cristiano Ronaldo", "André Silva", "João Félix", "Rafael Leão", "Ricardo Horta", "Gonçalo Ramos"]
Ghana;["Lawrence Ati-Zigi", "Ibrahim Danlad", "Abdul Nurudeen"];["Tariq Lamptey", "Denis Odoi", "Mohammed Salisu", "Gideon Mensah", "Joseph Aidoo", "Baba Rahman", "Daniel Amartey", "Alexander Djiku", "Alidu Seidu"];["Thomas Partey", "Elisha Owusu", "Abdul Fatawu Issahaku", "Daniel Kofi Kyereh", "Osman Bukari", "Daniel Afriyie", "Mohammed Kudus", "Salis Abdul Samed", "Kamaldeen Sulemana", "Kamal Sowah"];["Jordan Ayew", "André Ayew", "Iñaki Williams", "Antoine Semenyo"]
Uruguay;["Fernando Muslera", "Sergio Rochet", "Sebastián Sosa"];["Ronald Araújo", "Martín Cáceres", "Sebastián Coates", "José María Giménez", "Diego Godín", "Mathías Olivera", "José Luis Rodríguez", "Guillermo Varela", "Matías Viña"];["Rodrigo Bentancur", "Agustín Canobbio", "Giorgian De Arrascaeta", "Nicolás de la Cruz", "Facundo Pellistri", "Lucas Torreira", "Facundo Torres", "Manuel Ugarte", "Federico Valverde", "Matías Vecino"];["Edinson Cavani", "Maxi Gómez", "Darwin Núñez", "Luis Suárez"]
Corée du Sud;["Kim Seung-gyu", "Song Bum-keun", "Jo Hyeon-woo"];["Yoon Jong-gyu", "Kim Jin-su", "Kim Min-jae", "Hong Chul", "Kim Moon-hwan", "Kim Young-gwon", "Kwon Kyung-won", "Kim Tae-hwan", "Cho Yu-min"];["Jung Woo-young", "Hwang In-beom", "Son Heung-min", "Paik Seung-ho", "Lee Jae-sung", "Hwang Hee-chan", "Son Jun-ho", "Na Sang-ho", "Lee Kang-in", "Kwon Chang-hoon", "Jeong Woo-yeong", "Song Min-kyu"];["Cho Gue-sung", "Hwang Ui-jo"]
